,"X,Y,Z,Sequence"
1997,"-0.36758583784103394,5.753939151763916,7.841759204864502,1997"
1998,"-0.36758583784103394,5.753939151763916,7.841759204864502,1998"
1999,"-0.36758583784103394,5.753939151763916,7.841759204864502,1999"
2000,"-0.36758583784103394,5.753939151763916,7.841759204864502,2000"
2001,"-0.36758583784103394,5.753939151763916,7.841759204864502,2001"
2002,"-0.36758583784103394,5.753939151763916,7.841759204864502,2002"
2003,"-0.36758583784103394,5.753939151763916,7.841759204864502,2003"
2004,"-0.36758583784103394,5.753939151763916,7.841759204864502,2004"
2005,"-0.36758583784103394,5.753939151763916,7.841759204864502,2005"
2006,"-0.36758583784103394,5.753939151763916,7.841759204864502,2006"
2007,"-0.36758583784103394,5.753939151763916,7.841759204864502,2007"
2008,"-0.36758583784103394,5.753939151763916,7.841759204864502,2008"
2009,"-0.36758583784103394,5.753939151763916,7.841759204864502,2009"
2010,"-0.36758583784103394,5.753939151763916,7.841759204864502,2010"
2011,"-0.36758583784103394,5.753939151763916,7.841759204864502,2011"
2012,"-0.36758583784103394,5.753939151763916,7.841759204864502,2012"
2013,"-0.36758583784103394,5.753939151763916,7.841759204864502,2013"
2014,"-0.36758583784103394,5.753939151763916,7.841759204864502,2014"
2015,"-0.36758583784103394,5.753939151763916,7.841759204864502,2015"
2016,"-0.36758583784103394,5.753939151763916,7.841759204864502,2016"
2017,"-0.36758583784103394,5.753939151763916,7.841759204864502,2017"
2018,"-0.36758583784103394,5.753939151763916,7.841759204864502,2018"
2019,"-0.36758583784103394,5.753939151763916,7.841759204864502,2019"
2020,"-0.36758583784103394,5.753939151763916,7.841759204864502,2020"
2021,"-0.36758583784103394,5.753939151763916,7.841759204864502,2021"
2022,"-0.36758583784103394,5.753939151763916,7.841759204864502,2022"
2023,"-0.36758583784103394,5.753939151763916,7.841759204864502,2023"
2024,"-0.36758583784103394,5.753939151763916,7.841759204864502,2024"
2025,"-0.36758583784103394,5.753939151763916,7.841759204864502,2025"
2026,"-0.36758583784103394,5.753939151763916,7.841759204864502,2026"
2027,"-0.36758583784103394,5.753939151763916,7.841759204864502,2027"
2028,"-0.36758583784103394,5.753939151763916,7.841759204864502,2028"
2029,"-0.36758583784103394,5.753939151763916,7.841759204864502,2029"
2030,"-0.36758583784103394,5.753939151763916,7.841759204864502,2030"
2031,"-0.36758583784103394,5.753939151763916,7.841759204864502,2031"
2032,"-0.36758583784103394,5.753939151763916,7.841759204864502,2032"
2033,"-0.36758583784103394,5.753939151763916,7.841759204864502,2033"
2034,"-0.36758583784103394,5.753939151763916,7.841759204864502,2034"
2035,"-0.36758583784103394,5.753939151763916,7.841759204864502,2035"
2036,"-0.36758583784103394,5.753939151763916,7.841759204864502,2036"
2037,"-0.36758583784103394,5.753939151763916,7.841759204864502,2037"
2038,"-0.36758583784103394,5.753939151763916,7.841759204864502,2038"
2039,"-0.36758583784103394,5.753939151763916,7.841759204864502,2039"
2040,"-0.36758583784103394,5.753939151763916,7.841759204864502,2040"
2041,"-0.36758583784103394,5.753939151763916,7.841759204864502,2041"
2042,"-0.36758583784103394,5.753939151763916,7.841759204864502,2042"
2043,"-0.36758583784103394,5.753939151763916,7.841759204864502,2043"
2044,"-0.36758583784103394,5.753939151763916,7.841759204864502,2044"
2045,"-0.36758583784103394,5.753939151763916,7.841759204864502,2045"
2046,"-0.36758583784103394,5.753939151763916,7.841759204864502,2046"
2047,"-0.36758583784103394,5.753939151763916,7.841759204864502,2047"
2048,"-0.36758583784103394,5.753939151763916,7.841759204864502,2048"
2049,"-0.36758583784103394,5.753939151763916,7.841759204864502,2049"
2050,"-0.36758583784103394,5.753939151763916,7.841759204864502,2050"
2051,"-0.36758583784103394,5.753939151763916,7.841759204864502,2051"
2052,"-0.36758583784103394,5.753939151763916,7.841759204864502,2052"
2053,"-0.36758583784103394,5.753939151763916,7.841759204864502,2053"
2054,"-0.36758583784103394,5.753939151763916,7.841759204864502,2054"
2055,"-0.36758583784103394,5.753939151763916,7.841759204864502,2055"
2056,"-0.36758583784103394,5.753939151763916,7.841759204864502,2056"
2057,"-0.36758583784103394,5.753939151763916,7.841759204864502,2057"
2058,"-0.36758583784103394,5.753939151763916,7.841759204864502,2058"
2059,"-0.36758583784103394,5.753939151763916,7.841759204864502,2059"
2060,"-0.36758583784103394,5.753939151763916,7.841759204864502,2060"
2061,"-0.36758583784103394,5.753939151763916,7.841759204864502,2061"
2062,"-0.36758583784103394,5.753939151763916,7.841759204864502,2062"
2063,"-0.36758583784103394,5.753939151763916,7.841759204864502,2063"
2064,"-0.36758583784103394,5.753939151763916,7.841759204864502,2064"
2065,"-0.36758583784103394,5.753939151763916,7.841759204864502,2065"
2066,"-0.36758583784103394,5.753939151763916,7.841759204864502,2066"
2067,"-0.36758583784103394,5.753939151763916,7.841759204864502,2067"
2068,"-0.36758583784103394,5.753939151763916,7.841759204864502,2068"
2069,"-0.36758583784103394,5.753939151763916,7.841759204864502,2069"
2070,"-0.36758583784103394,5.753939151763916,7.841759204864502,2070"
2071,"-0.36758583784103394,5.753939151763916,7.841759204864502,2071"
2072,"-0.36758583784103394,5.753939151763916,7.841759204864502,2072"
2073,"-0.36758583784103394,5.753939151763916,7.841759204864502,2073"
2074,"-0.36758583784103394,5.753939151763916,7.841759204864502,2074"
2075,"-0.36758583784103394,5.753939151763916,7.841759204864502,2075"
2076,"-0.36758583784103394,5.753939151763916,7.841759204864502,2076"
2077,"-0.36758583784103394,5.753939151763916,7.841759204864502,2077"
2078,"-0.36758583784103394,5.753939151763916,7.841759204864502,2078"
2079,"-0.36758583784103394,5.753939151763916,7.841759204864502,2079"
2080,"-0.36758583784103394,5.753939151763916,7.841759204864502,2080"
2081,"-0.36758583784103394,5.753939151763916,7.841759204864502,2081"
2082,"-0.36758583784103394,5.753939151763916,7.841759204864502,2082"
2083,"-0.36758583784103394,5.753939151763916,7.841759204864502,2083"
2084,"-0.36758583784103394,5.753939151763916,7.841759204864502,2084"
2085,"-0.36758583784103394,5.753939151763916,7.841759204864502,2085"
2086,"-0.36758583784103394,5.753939151763916,7.841759204864502,2086"
2087,"-0.36758583784103394,5.753939151763916,7.841759204864502,2087"
2088,"-0.36758583784103394,5.753939151763916,7.841759204864502,2088"
2089,"-0.36758583784103394,5.753939151763916,7.841759204864502,2089"
2090,"-0.36758583784103394,5.753939151763916,7.841759204864502,2090"
2091,"-0.36758583784103394,5.753939151763916,7.841759204864502,2091"
2092,"-0.36758583784103394,5.753939151763916,7.841759204864502,2092"
2093,"-0.36758583784103394,5.753939151763916,7.841759204864502,2093"
2094,"-0.36758583784103394,5.753939151763916,7.841759204864502,2094"
2095,"-0.36758583784103394,5.753939151763916,7.841759204864502,2095"
2096,"-0.36758583784103394,5.753939151763916,7.841759204864502,2096"
2097,"-0.36758583784103394,5.753939151763916,7.841759204864502,2097"
2098,"-0.36758583784103394,5.753939151763916,7.841759204864502,2098"
2099,"-0.36758583784103394,5.753939151763916,7.841759204864502,2099"
2100,"-0.36758583784103394,5.753939151763916,7.841759204864502,2100"
2101,"-0.36758583784103394,5.753939151763916,7.841759204864502,2101"
2102,"-0.36758583784103394,5.753939151763916,7.841759204864502,2102"
2103,"-0.36758583784103394,5.753939151763916,7.841759204864502,2103"
2104,"-0.36758583784103394,5.753939151763916,7.841759204864502,2104"
2105,"-0.36758583784103394,5.753939151763916,7.841759204864502,2105"
2106,"-0.36758583784103394,5.753939151763916,7.841759204864502,2106"
2107,"-0.36758583784103394,5.753939151763916,7.841759204864502,2107"
2108,"-0.36758583784103394,5.753939151763916,7.841759204864502,2108"
2109,"-0.36758583784103394,5.753939151763916,7.841759204864502,2109"
2110,"-0.36758583784103394,5.753939151763916,7.841759204864502,2110"
2111,"-0.36758583784103394,5.753939151763916,7.841759204864502,2111"
2112,"-0.36758583784103394,5.753939151763916,7.841759204864502,2112"
2113,"-0.36758583784103394,5.753939151763916,7.841759204864502,2113"
2114,"-0.36758583784103394,5.753939151763916,7.841759204864502,2114"
2115,"-0.36758583784103394,5.753939151763916,7.841759204864502,2115"
2116,"-0.36758583784103394,5.753939151763916,7.841759204864502,2116"
2117,"-0.36758583784103394,5.753939151763916,7.841759204864502,2117"
2118,"-0.36758583784103394,5.753939151763916,7.841759204864502,2118"
2119,"-0.36758583784103394,5.753939151763916,7.841759204864502,2119"
2120,"-0.36758583784103394,5.753939151763916,7.841759204864502,2120"
2121,"-0.36758583784103394,5.753939151763916,7.841759204864502,2121"
2122,"-0.36758583784103394,5.753939151763916,7.841759204864502,2122"
2123,"-0.36758583784103394,5.753939151763916,7.841759204864502,2123"
2124,"-0.36758583784103394,5.753939151763916,7.841759204864502,2124"
2125,"-0.36758583784103394,5.753939151763916,7.841759204864502,2125"
2126,"-0.36758583784103394,5.753939151763916,7.841759204864502,2126"
2127,"-0.36758583784103394,5.753939151763916,7.841759204864502,2127"
2128,"-0.36758583784103394,5.753939151763916,7.841759204864502,2128"
2129,"-0.36758583784103394,5.753939151763916,7.841759204864502,2129"
2130,"-0.36758583784103394,5.753939151763916,7.841759204864502,2130"
2131,"-0.36758583784103394,5.753939151763916,7.841759204864502,2131"
2132,"-0.36758583784103394,5.753939151763916,7.841759204864502,2132"
2133,"-0.36758583784103394,5.753939151763916,7.841759204864502,2133"
2134,"-0.36758583784103394,5.753939151763916,7.841759204864502,2134"
2135,"-0.36758583784103394,5.753939151763916,7.841759204864502,2135"
2136,"-0.36758583784103394,5.753939151763916,7.841759204864502,2136"
2137,"-0.36758583784103394,5.753939151763916,7.841759204864502,2137"
2138,"-0.36758583784103394,5.753939151763916,7.841759204864502,2138"
2139,"-0.36758583784103394,5.753939151763916,7.841759204864502,2139"
2140,"-0.36758583784103394,5.753939151763916,7.841759204864502,2140"
2141,"-0.36758583784103394,5.753939151763916,7.841759204864502,2141"
2142,"-0.36758583784103394,5.753939151763916,7.841759204864502,2142"
2143,"-0.36758583784103394,5.753939151763916,7.841759204864502,2143"
2144,"-0.36758583784103394,5.753939151763916,7.841759204864502,2144"
2145,"-0.36758583784103394,5.753939151763916,7.841759204864502,2145"
2146,"-0.36758583784103394,5.753939151763916,7.841759204864502,2146"
2147,"-0.36758583784103394,5.753939151763916,7.841759204864502,2147"
2148,"-0.36758583784103394,5.753939151763916,7.841759204864502,2148"
2149,"-0.36758583784103394,5.753939151763916,7.841759204864502,2149"
2150,"-0.36758583784103394,5.753939151763916,7.841759204864502,2150"
2151,"-0.36758583784103394,5.753939151763916,7.841759204864502,2151"
2152,"-0.36758583784103394,5.753939151763916,7.841759204864502,2152"
2153,"-0.36758583784103394,5.753939151763916,7.841759204864502,2153"
2154,"-0.36758583784103394,5.753939151763916,7.841759204864502,2154"
2155,"-0.36758583784103394,5.753939151763916,7.841759204864502,2155"
2156,"-0.36758583784103394,5.753939151763916,7.841759204864502,2156"
2157,"-0.36758583784103394,5.753939151763916,7.841759204864502,2157"
2158,"-0.36758583784103394,5.753939151763916,7.841759204864502,2158"
2159,"-0.36758583784103394,5.753939151763916,7.841759204864502,2159"
2160,"-0.36758583784103394,5.753939151763916,7.841759204864502,2160"
2161,"-0.36758583784103394,5.753939151763916,7.841759204864502,2161"
2162,"-0.36758583784103394,5.753939151763916,7.841759204864502,2162"
2163,"-0.36758583784103394,5.753939151763916,7.841759204864502,2163"
2164,"-0.36758583784103394,5.753939151763916,7.841759204864502,2164"
2165,"-0.36758583784103394,5.753939151763916,7.841759204864502,2165"
2166,"-0.36758583784103394,5.753939151763916,7.841759204864502,2166"
2167,"-0.36758583784103394,5.753939151763916,7.841759204864502,2167"
2168,"-0.36758583784103394,5.753939151763916,7.841759204864502,2168"
2169,"-0.36758583784103394,5.753939151763916,7.841759204864502,2169"
2170,"-0.36758583784103394,5.753939151763916,7.841759204864502,2170"
2171,"-0.36758583784103394,5.753939151763916,7.841759204864502,2171"
2172,"-0.36758583784103394,5.753939151763916,7.841759204864502,2172"
2173,"-0.36758583784103394,5.753939151763916,7.841759204864502,2173"
2174,"-0.36758583784103394,5.753939151763916,7.841759204864502,2174"
2175,"-0.36758583784103394,5.753939151763916,7.841759204864502,2175"
2176,"-0.36758583784103394,5.753939151763916,7.841759204864502,2176"
2177,"-0.36758583784103394,5.753939151763916,7.841759204864502,2177"
2178,"-0.36758583784103394,5.753939151763916,7.841759204864502,2178"
2179,"-0.36758583784103394,5.753939151763916,7.841759204864502,2179"
2180,"-0.36758583784103394,5.753939151763916,7.841759204864502,2180"
2181,"-0.36758583784103394,5.753939151763916,7.841759204864502,2181"
2182,"-0.36758583784103394,5.753939151763916,7.841759204864502,2182"
2183,"-0.36758583784103394,5.753939151763916,7.841759204864502,2183"
2184,"-0.36758583784103394,5.753939151763916,7.841759204864502,2184"
2185,"-0.36758583784103394,5.753939151763916,7.841759204864502,2185"
2186,"-0.36758583784103394,5.753939151763916,7.841759204864502,2186"
2187,"-0.36758583784103394,5.753939151763916,7.841759204864502,2187"
2188,"-0.36758583784103394,5.753939151763916,7.841759204864502,2188"
2189,"-0.36758583784103394,5.753939151763916,7.841759204864502,2189"
2190,"-0.36758583784103394,5.753939151763916,7.841759204864502,2190"
2191,"-0.36758583784103394,5.753939151763916,7.841759204864502,2191"
2192,"-0.36758583784103394,5.753939151763916,7.841759204864502,2192"
2193,"-0.36758583784103394,5.753939151763916,7.841759204864502,2193"
2194,"-0.36758583784103394,5.753939151763916,7.841759204864502,2194"
2195,"-0.36758583784103394,5.753939151763916,7.841759204864502,2195"
2196,"-0.36758583784103394,5.753939151763916,7.841759204864502,2196"
2197,"-0.36758583784103394,5.753939151763916,7.841759204864502,2197"
2198,"-0.36758583784103394,5.753939151763916,7.841759204864502,2198"
2199,"-0.36758583784103394,5.753939151763916,7.841759204864502,2199"
2200,"-0.36758583784103394,5.753939151763916,7.841759204864502,2200"
2201,"-0.36758583784103394,5.753939151763916,7.841759204864502,2201"
2202,"-0.36758583784103394,5.753939151763916,7.841759204864502,2202"
2203,"-0.36758583784103394,5.753939151763916,7.841759204864502,2203"
2204,"-0.36758583784103394,5.753939151763916,7.841759204864502,2204"
2205,"-0.36758583784103394,5.753939151763916,7.841759204864502,2205"
2206,"-0.36758583784103394,5.753939151763916,7.841759204864502,2206"
2207,"-0.36758583784103394,5.753939151763916,7.841759204864502,2207"
2208,"-0.36758583784103394,5.753939151763916,7.841759204864502,2208"
2209,"-0.36758583784103394,5.753939151763916,7.841759204864502,2209"
2210,"-0.36758583784103394,5.753939151763916,7.841759204864502,2210"
2211,"-0.36758583784103394,5.753939151763916,7.841759204864502,2211"
2212,"-0.36758583784103394,5.753939151763916,7.841759204864502,2212"
2213,"-0.36758583784103394,5.753939151763916,7.841759204864502,2213"
2214,"-0.36758583784103394,5.753939151763916,7.841759204864502,2214"
2215,"-0.36758583784103394,5.753939151763916,7.841759204864502,2215"
2216,"-0.36758583784103394,5.753939151763916,7.841759204864502,2216"
2217,"-0.36758583784103394,5.753939151763916,7.841759204864502,2217"
2218,"-0.36758583784103394,5.753939151763916,7.841759204864502,2218"
2219,"-0.36758583784103394,5.753939151763916,7.841759204864502,2219"
2220,"-0.36758583784103394,5.753939151763916,7.841759204864502,2220"
2221,"-0.36758583784103394,5.753939151763916,7.841759204864502,2221"
2222,"-0.36758583784103394,5.753939151763916,7.841759204864502,2222"
2223,"-0.36758583784103394,5.753939151763916,7.841759204864502,2223"
2224,"-0.36758583784103394,5.753939151763916,7.841759204864502,2224"
2225,"-0.36758583784103394,5.753939151763916,7.841759204864502,2225"
2226,"-0.36758583784103394,5.753939151763916,7.841759204864502,2226"
2227,"-0.36758583784103394,5.753939151763916,7.841759204864502,2227"
2228,"-0.36758583784103394,5.753939151763916,7.841759204864502,2228"
